bcell_id	h_age	new_h_age
3492229	43 +/- 12 years	43 ± 12 years
3492231	43 +/- 12 years	43 ± 12 years
3492232	36 +/- 10 years	36 ± 10 years
3492233	43 +/- 12 years	43 ± 12 years
3492234	36 +/- 10 years	36 ± 10 years
3492385	43 +/- 12 years	43 ± 12 years
3492386	36 +/- 10 years	36 ± 10 years
3492387	43 +/- 12 years	43 ± 12 years
3492389	43 +/- 12 years	43 ± 12 years
3492390	36 +/- 10 years	36 ± 10 years
3492391	43 +/- 12 years	43 ± 12 years
3492392	36 +/- 10 years	36 ± 10 years
3492393	43 +/- 12 years	43 ± 12 years
3492394	36 +/- 10 years	36 ± 10 years
3492546	36 +/- 10 years	36 ± 10 years
3492547	43 +/- 12 years	43 ± 12 years
3492548	36 +/- 10 years	36 ± 10 years
3492549	43 +/- 12 years	43 ± 12 years
3492550	36 +/- 10 years	36 ± 10 years
3492551	43 +/- 12 years	43 ± 12 years
3492552	36 +/- 10 years	36 ± 10 years
3492553	43 +/- 12 years	43 ± 12 years
3492554	36 +/- 10 years	36 ± 10 years
3492705	43 +/- 12 years	43 ± 12 years
3492706	36 +/- 10 years	36 ± 10 years
3492707	43 +/- 12 years	43 ± 12 years
3492708	36 +/- 10 years	36 ± 10 years
3492709	43 +/- 12 years	43 ± 12 years
3492711	43 +/- 12 years	43 ± 12 years
3492712	36 +/- 10 years	36 ± 10 years
3492713	43 +/- 12 years	43 ± 12 years
3492714	36 +/- 10 years	36 ± 10 years
3492865	43 +/- 12 years	43 ± 12 years
3492867	43 +/- 12 years	43 ± 12 years
3492868	36 +/- 10 years	36 ± 10 years
3492869	43 +/- 12 years	43 ± 12 years
3492870	36 +/- 10 years	36 ± 10 years
3492871	43 +/- 12 years	43 ± 12 years
3492872	36 +/- 10 years	36 ± 10 years
3492873	43 +/- 12 years	43 ± 12 years
3492874	36 +/- 10 years	36 ± 10 years
3493025	43 +/- 12 years	43 ± 12 years
3493027	43 +/- 12 years	43 ± 12 years
3493028	36 +/- 10 years	36 ± 10 years
3493029	43 +/- 12 years	43 ± 12 years
3493030	36 +/- 10 years	36 ± 10 years
3493031	43 +/- 12 years	43 ± 12 years
3493032	36 +/- 10 years	36 ± 10 years
3493033	43 +/- 12 years	43 ± 12 years
3493034	36 +/- 10 years	36 ± 10 years
3493185	43 +/- 12 years	43 ± 12 years
3493186	36 +/- 10 years	36 ± 10 years
3493187	43 +/- 12 years	43 ± 12 years
3493189	43 +/- 12 years	43 ± 12 years
3493190	36 +/- 10 years	36 ± 10 years
3493191	43 +/- 12 years	43 ± 12 years
3493192	36 +/- 10 years	36 ± 10 years
3493193	43 +/- 12 years	43 ± 12 years
3493194	36 +/- 10 years	36 ± 10 years
3493345	43 +/- 12 years	43 ± 12 years
3493346	36 +/- 10 years	36 ± 10 years
3493347	43 +/- 12 years	43 ± 12 years
3493348	36 +/- 10 years	36 ± 10 years
3493349	43 +/- 12 years	43 ± 12 years
3493350	36 +/- 10 years	36 ± 10 years
3493351	43 +/- 12 years	43 ± 12 years
3493352	36 +/- 10 years	36 ± 10 years
3493354	36 +/- 10 years	36 ± 10 years
3493505	43 +/- 12 years	43 ± 12 years
3493506	36 +/- 10 years	36 ± 10 years
3493507	43 +/- 12 years	43 ± 12 years
3493508	36 +/- 10 years	36 ± 10 years
3493509	43 +/- 12 years	43 ± 12 years
3493510	36 +/- 10 years	36 ± 10 years
3493511	43 +/- 12 years	43 ± 12 years
3493512	36 +/- 10 years	36 ± 10 years
3493514	36 +/- 10 years	36 ± 10 years
3493632	36 +/- 10 years	36 ± 10 years
3493633	43 +/- 12 years	43 ± 12 years
3493634	36 +/- 10 years	36 ± 10 years
3493635	43 +/- 12 years	43 ± 12 years
3493636	36 +/- 10 years	36 ± 10 years
3493638	36 +/- 10 years	36 ± 10 years
3493639	43 +/- 12 years	43 ± 12 years
3493640	36 +/- 10 years	36 ± 10 years
3493641	43 +/- 12 years	43 ± 12 years
3491758	36 +/- 10 years	36 ± 10 years
3491759	43 +/- 12 years	43 ± 12 years
3491760	36 +/- 10 years	36 ± 10 years
3491761	43 +/- 12 years	43 ± 12 years
3491762	36 +/- 10 years	36 ± 10 years
3491763	43 +/- 12 years	43 ± 12 years
3491764	36 +/- 10 years	36 ± 10 years
3491766	36 +/- 10 years	36 ± 10 years
3491767	43 +/- 12 years	43 ± 12 years
3491918	36 +/- 10 years	36 ± 10 years
3491919	43 +/- 12 years	43 ± 12 years
3491920	36 +/- 10 years	36 ± 10 years
3491921	43 +/- 12 years	43 ± 12 years
3491923	43 +/- 12 years	43 ± 12 years
3491924	36 +/- 10 years	36 ± 10 years
3491925	43 +/- 12 years	43 ± 12 years
3491926	36 +/- 10 years	36 ± 10 years
3491927	43 +/- 12 years	43 ± 12 years
3492075	43 +/- 12 years	43 ± 12 years
3492076	36 +/- 10 years	36 ± 10 years
3492077	43 +/- 12 years	43 ± 12 years
3492078	36 +/- 10 years	36 ± 10 years
3492080	36 +/- 10 years	36 ± 10 years
3492081	43 +/- 12 years	43 ± 12 years
3492082	36 +/- 10 years	36 ± 10 years
3492083	43 +/- 12 years	43 ± 12 years
3492084	36 +/- 10 years	36 ± 10 years
3492235	43 +/- 12 years	43 ± 12 years
3492236	36 +/- 10 years	36 ± 10 years
3492237	43 +/- 12 years	43 ± 12 years
3492239	43 +/- 12 years	43 ± 12 years
3492240	36 +/- 10 years	36 ± 10 years
3492241	43 +/- 12 years	43 ± 12 years
3492242	36 +/- 10 years	36 ± 10 years
3492243	43 +/- 12 years	43 ± 12 years
3492244	36 +/- 10 years	36 ± 10 years
3492395	43 +/- 12 years	43 ± 12 years
3492396	36 +/- 10 years	36 ± 10 years
3492397	43 +/- 12 years	43 ± 12 years
3492398	36 +/- 10 years	36 ± 10 years
3492399	43 +/- 12 years	43 ± 12 years
3492400	36 +/- 10 years	36 ± 10 years
3492401	43 +/- 12 years	43 ± 12 years
3492403	43 +/- 12 years	43 ± 12 years
3492404	36 +/- 10 years	36 ± 10 years
3492555	43 +/- 12 years	43 ± 12 years
3492557	43 +/- 12 years	43 ± 12 years
3492558	36 +/- 10 years	36 ± 10 years
3492559	43 +/- 12 years	43 ± 12 years
3492560	36 +/- 10 years	36 ± 10 years
3492561	43 +/- 12 years	43 ± 12 years
3492562	36 +/- 10 years	36 ± 10 years
3492563	43 +/- 12 years	43 ± 12 years
3492564	36 +/- 10 years	36 ± 10 years
3492716	36 +/- 10 years	36 ± 10 years
3492717	43 +/- 12 years	43 ± 12 years
3492718	36 +/- 10 years	36 ± 10 years
3492719	43 +/- 12 years	43 ± 12 years
3492720	36 +/- 10 years	36 ± 10 years
3492721	43 +/- 12 years	43 ± 12 years
