location	index	char_normalized_location	char_normalized	char_valid?_location	char_normalization_score_location	word_normalized_location	word_normalized	word_valid?_location	word_normalization_score_location	phrase_normalized_location	phrase_normalized	phrase_valid?_location	phrase_normalization_score_location	overall_normalization_score_location	normalized_location	normalized	curator_review
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]	106	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	Y	pass	6	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	N	pass	0	['2000', '18', '2033', '8', '10706966']	Y	fail	55	55	2033	N	
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]	106	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	Y	pass	6	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	N	pass	0	['2000', '18', '2033', '8', '10706966']	Y	fail	55	55	8	N	
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]	106	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	Y	pass	6	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	N	pass	0	['2000', '18', '2033', '8', '10706966']	Y	fail	55	55	10706966	N	
Author identifed Uniprot Q12955-3	123	author identifed uniprot q12955-3	Y	pass	3	author identifed uniprot q12955-3	N	pass	0	['3']	Y	fail	32	32	3	N	
Author provided GenBank ID JX112656.1	134	author provided genbank id jx112656.1	Y	pass	7	author provided genbank id jx112656.1	N	pass	0	['1']	Y	fail	36	36	1	N	
Baer et al. Nature 1984;310:207.	166	baer et al. nature 1984;310:207.	Y	pass	2	baer et al. nature 1984;310:207.	N	pass	0	['1984', '310', '207']	Y	fail	32	32	1984	N	
Baer et al. Nature 1984;310:207.	166	baer et al. nature 1984;310:207.	Y	pass	2	baer et al. nature 1984;310:207.	N	pass	0	['1984', '310', '207']	Y	fail	32	32	310	N	
Baer et al. Nature 1984;310:207.	166	baer et al. nature 1984;310:207.	Y	pass	2	baer et al. nature 1984;310:207.	N	pass	0	['1984', '310', '207']	Y	fail	32	32	207	N	
Behar, et al., J. Immunol. 175: 3268-3272	167	behar, et al., j. immunol. 175: 3268-3272	Y	pass	3	behar, et al., j. immunol. 175: 3268-3272	N	pass	0	['behar', 'et al.', '175', '3268', '3272']	Y	fail	41	41	behar	N	
Behar, et al., J. Immunol. 175: 3268-3272	167	behar, et al., j. immunol. 175: 3268-3272	Y	pass	3	behar, et al., j. immunol. 175: 3268-3272	N	pass	0	['behar', 'et al.', '175', '3268', '3272']	Y	fail	41	41	et al.	N	
Behar, et al., J. Immunol. 175: 3268-3272	167	behar, et al., j. immunol. 175: 3268-3272	Y	pass	3	behar, et al., j. immunol. 175: 3268-3272	N	pass	0	['behar', 'et al.', '175', '3268', '3272']	Y	fail	41	41	175	N	
Behar, et al., J. Immunol. 175: 3268-3272	167	behar, et al., j. immunol. 175: 3268-3272	Y	pass	3	behar, et al., j. immunol. 175: 3268-3272	N	pass	0	['behar', 'et al.', '175', '3268', '3272']	Y	fail	41	41	3268	N	
Behar, et al., J. Immunol. 175: 3268-3272	167	behar, et al., j. immunol. 175: 3268-3272	Y	pass	3	behar, et al., j. immunol. 175: 3268-3272	N	pass	0	['behar', 'et al.', '175', '3268', '3272']	Y	fail	41	41	3272	N	
BMC Vet Res 2006;2:19.	168	bmc vet res 2006;2:19.	Y	pass	5	bmc vet res 2006;2:19.	N	pass	0	['2006', '2', '19']	Y	fail	21	21	2006	N	
BMC Vet Res 2006;2:19.	168	bmc vet res 2006;2:19.	Y	pass	5	bmc vet res 2006;2:19.	N	pass	0	['2006', '2', '19']	Y	fail	21	21	2	N	
BMC Vet Res 2006;2:19.	168	bmc vet res 2006;2:19.	Y	pass	5	bmc vet res 2006;2:19.	N	pass	0	['2006', '2', '19']	Y	fail	21	21	19	N	
Booth et al (1988)	169	booth et al (1988)	Y	pass	1	booth et al (1988)	N	pass	0	['1988']	Y	fail	18	18	1988	N	
Booth et al. J Immunol 1988;140:597-601.	170	booth et al. j immunol 1988;140:597-601.	Y	pass	3	booth et al. j immunol 1988;140:597-601.	N	pass	0	['1988', '140', '597', '601']	Y	fail	40	40	1988	N	
Booth et al. J Immunol 1988;140:597-601.	170	booth et al. j immunol 1988;140:597-601.	Y	pass	3	booth et al. j immunol 1988;140:597-601.	N	pass	0	['1988', '140', '597', '601']	Y	fail	40	40	140	N	
Booth et al. J Immunol 1988;140:597-601.	170	booth et al. j immunol 1988;140:597-601.	Y	pass	3	booth et al. j immunol 1988;140:597-601.	N	pass	0	['1988', '140', '597', '601']	Y	fail	40	40	597	N	
Booth et al. J Immunol 1988;140:597-601.	170	booth et al. j immunol 1988;140:597-601.	Y	pass	3	booth et al. j immunol 1988;140:597-601.	N	pass	0	['1988', '140', '597', '601']	Y	fail	40	40	601	N	
Bundle et al (1989)	171	bundle et al (1989)	Y	pass	1	bundle et al (1989)	N	pass	0	['1989']	Y	fail	19	19	1989	N	
Cao et al, J Gen Virol 2002, 83, 3023.	174	cao et al, j gen virol 2002, 83, 3023.	Y	pass	4	cao et al, j gen virol 2002, 83, 3023.	N	pass	0	['cao et al', '2002', '83', '3023']	Y	fail	38	38	cao et al	N	
Cao et al, J Gen Virol 2002, 83, 3023.	174	cao et al, j gen virol 2002, 83, 3023.	Y	pass	4	cao et al, j gen virol 2002, 83, 3023.	N	pass	0	['cao et al', '2002', '83', '3023']	Y	fail	38	38	2002	N	
Cao et al, J Gen Virol 2002, 83, 3023.	174	cao et al, j gen virol 2002, 83, 3023.	Y	pass	4	cao et al, j gen virol 2002, 83, 3023.	N	pass	0	['cao et al', '2002', '83', '3023']	Y	fail	38	38	83	N	
Cao et al, J Gen Virol 2002, 83, 3023.	174	cao et al, j gen virol 2002, 83, 3023.	Y	pass	4	cao et al, j gen virol 2002, 83, 3023.	N	pass	0	['cao et al', '2002', '83', '3023']	Y	fail	38	38	3023	N	
Cassatro et al. (2005) Infect Immun 73:8079	180	cassatro et al. (2005) infect immun 73:8079	Y	pass	3	cassatro et al. (2005) infect immun 73:8079	N	pass	0	['2005', '73', '8079']	Y	fail	43	43	2005	N	
Cassatro et al. (2005) Infect Immun 73:8079	180	cassatro et al. (2005) infect immun 73:8079	Y	pass	3	cassatro et al. (2005) infect immun 73:8079	N	pass	0	['2005', '73', '8079']	Y	fail	43	43	73	N	
Cassatro et al. (2005) Infect Immun 73:8079	180	cassatro et al. (2005) infect immun 73:8079	Y	pass	3	cassatro et al. (2005) infect immun 73:8079	N	pass	0	['2005', '73', '8079']	Y	fail	43	43	8079	N	
Chang et al. J Biochem 1995;117:863-868.	181	chang et al. j biochem 1995;117:863-868.	Y	pass	3	chang et al. j biochem 1995;117:863-868.	N	pass	0	['1995', '117', '863', '868']	Y	fail	40	40	1995	N	
Chang et al. J Biochem 1995;117:863-868.	181	chang et al. j biochem 1995;117:863-868.	Y	pass	3	chang et al. j biochem 1995;117:863-868.	N	pass	0	['1995', '117', '863', '868']	Y	fail	40	40	117	N	
Chang et al. J Biochem 1995;117:863-868.	181	chang et al. j biochem 1995;117:863-868.	Y	pass	3	chang et al. j biochem 1995;117:863-868.	N	pass	0	['1995', '117', '863', '868']	Y	fail	40	40	863	N	
Chang et al. J Biochem 1995;117:863-868.	181	chang et al. j biochem 1995;117:863-868.	Y	pass	3	chang et al. j biochem 1995;117:863-868.	N	pass	0	['1995', '117', '863', '868']	Y	fail	40	40	868	N	
Charbit et al EMBO J (1986)	182	charbit et al embo j (1986)	Y	pass	6	charbit et al embo j (1986)	N	pass	0	['1986']	Y	fail	27	27	1986	N	
Charbit et al.  J Immunol 1987;139:1658.	183	charbit et al. j immunol 1987;139:1658.	Y	pass	4	charbit et al. j immunol 1987;139:1658.	N	pass	0	['1987', '139', '1658']	Y	fail	39	40	1987	N	
Charbit et al.  J Immunol 1987;139:1658.	183	charbit et al. j immunol 1987;139:1658.	Y	pass	4	charbit et al. j immunol 1987;139:1658.	N	pass	0	['1987', '139', '1658']	Y	fail	39	40	139	N	
Charbit et al.  J Immunol 1987;139:1658.	183	charbit et al. j immunol 1987;139:1658.	Y	pass	4	charbit et al. j immunol 1987;139:1658.	N	pass	0	['1987', '139', '1658']	Y	fail	39	40	1658	N	
Chart 1	184	chart 1	Y	pass	1	chart 1	N	pass	0	['1']	Y	fail	6	6	1	N	
Chart 1 and Experimental Procedures	185	chart 1 and experimental procedures	Y	pass	3	chart 1 and experimental procedures	N	pass	0	['1', 'experimental procedures']	Y	fail	34	34	1	N	
Chart 1 and Experimental Procedures	185	chart 1 and experimental procedures	Y	pass	3	chart 1 and experimental procedures	N	pass	0	['1', 'experimental procedures']	Y	fail	34	34	experimental procedures	N	
Chart 3	186	chart 3	Y	pass	1	chart 3	N	pass	0	['3']	Y	fail	6	6	3	N	
Ching et al (1992)	189	ching et al (1992)	Y	pass	1	ching et al (1992)	N	pass	0	['1992']	Y	fail	18	18	1992	N	
Chua et al 1990 PMID 2341191	190	chua et al 1990 pmid 2341191	Y	pass	5	chua et al 1990 pmid 2341191	N	pass	0	['1990', '2341191']	Y	fail	28	28	1990	N	
Chua et al 1990 PMID 2341191	190	chua et al 1990 pmid 2341191	Y	pass	5	chua et al 1990 pmid 2341191	N	pass	0	['1990', '2341191']	Y	fail	28	28	2341191	N	
Chua-Intra, et al. Infect. Immun. 1998.	191	chua-intra, et al. infect. immun. 1998.	Y	pass	4	chua-intra, et al. infect. immun. 1998.	N	pass	0	['chua-intra', '1998']	Y	fail	39	39	chua-intra	N	
Chua-Intra, et al. Infect. Immun. 1998.	191	chua-intra, et al. infect. immun. 1998.	Y	pass	4	chua-intra, et al. infect. immun. 1998.	N	pass	0	['chua-intra', '1998']	Y	fail	39	39	1998	N	
Cited accession P02789.2	195	cited accession p02789.2	Y	pass	2	cited accession p02789.2	N	pass	0	['2']	Y	fail	23	23	2	N	
Cited reference [PMID: 16472860]	206	cited reference [pmid: 16472860]	Y	pass	5	cited reference [pmid: 16472860]	N	pass	0	['16472860']	Y	fail	32	32	16472860	N	
Cited reference [PMID: 17728232]	207	cited reference [pmid: 17728232]	Y	pass	5	cited reference [pmid: 17728232]	N	pass	0	['17728232']	Y	fail	32	32	17728232	N	
Cited reference [PMID: 24027321] and PDB 4M5Z	208	cited reference [pmid: 24027321] and pdb 4m5z	Y	pass	10	cited reference [pmid: 24027321] and pdb 4m5z	N	pass	0	['24027321', 'pdb 4m5z']	Y	fail	45	45	24027321	N	
Cited reference [PMID: 24027321] and PDB 4M5Z	208	cited reference [pmid: 24027321] and pdb 4m5z	Y	pass	10	cited reference [pmid: 24027321] and pdb 4m5z	N	pass	0	['24027321', 'pdb 4m5z']	Y	fail	45	45	pdb 4m5z	Y	
Cited reference [PMID: 25723165] and PDB 3X2D	209	cited reference [pmid: 25723165] and pdb 3x2d	Y	pass	10	cited reference [pmid: 25723165] and pdb 3x2d	N	pass	0	['25723165', 'pdb 3x2d']	Y	fail	45	45	25723165	N	
Cited reference [PMID: 25723165] and PDB 3X2D	209	cited reference [pmid: 25723165] and pdb 3x2d	Y	pass	10	cited reference [pmid: 25723165] and pdb 3x2d	N	pass	0	['25723165', 'pdb 3x2d']	Y	fail	45	45	pdb 3x2d	Y	
Cited reference [PMID: 26311869]	210	cited reference [pmid: 26311869]	Y	pass	5	cited reference [pmid: 26311869]	N	pass	0	['26311869']	Y	fail	32	32	26311869	N	
Cited reference [PMID: 27066709]	211	cited reference [pmid: 27066709]	Y	pass	5	cited reference [pmid: 27066709]	N	pass	0	['27066709']	Y	fail	32	32	27066709	N	
Cited reference [PMID: 29736037]	212	cited reference [pmid: 29736037]	Y	pass	5	cited reference [pmid: 29736037]	N	pass	0	['29736037']	Y	fail	32	32	29736037	N	
Cited reference [PMID: 29938870]	213	cited reference [pmid: 29938870]	Y	pass	5	cited reference [pmid: 29938870]	N	pass	0	['29938870']	Y	fail	32	32	29938870	N	
Cited reference [PMID: 30029854]	214	cited reference [pmid: 30029854]	Y	pass	5	cited reference [pmid: 30029854]	N	pass	0	['30029854']	Y	fail	32	32	30029854	N	
Cited reference [PMID: 31100268] and PDB 6OC3	215	cited reference [pmid: 31100268] and pdb 6oc3	Y	pass	10	cited reference [pmid: 31100268] and pdb 6oc3	N	pass	0	['31100268', 'pdb 6oc3']	Y	fail	45	45	31100268	N	
Cited reference [PMID: 31100268] and PDB 6OC3	215	cited reference [pmid: 31100268] and pdb 6oc3	Y	pass	10	cited reference [pmid: 31100268] and pdb 6oc3	N	pass	0	['31100268', 'pdb 6oc3']	Y	fail	45	45	pdb 6oc3	Y	
Cited reference [PMID: 32023489] and PDB 6OZ9	216	cited reference [pmid: 32023489] and pdb 6oz9	Y	pass	10	cited reference [pmid: 32023489] and pdb 6oz9	N	pass	0	['32023489', 'pdb 6oz9']	Y	fail	45	45	32023489	N	
Cited reference [PMID: 32023489] and PDB 6OZ9	216	cited reference [pmid: 32023489] and pdb 6oz9	Y	pass	10	cited reference [pmid: 32023489] and pdb 6oz9	N	pass	0	['32023489', 'pdb 6oz9']	Y	fail	45	45	pdb 6oz9	Y	
Cited reference [PMID: 32245784]	217	cited reference [pmid: 32245784]	Y	pass	5	cited reference [pmid: 32245784]	N	pass	0	['32245784']	Y	fail	32	32	32245784	N	
Cited reference [PMID: 32454512]	218	cited reference [pmid: 32454512]	Y	pass	5	cited reference [pmid: 32454512]	N	pass	0	['32454512']	Y	fail	32	32	32454512	N	
cited reference [PMID: 35080970]	219	cited reference [pmid: 35080970]	Y	pass	4	cited reference [pmid: 35080970]	N	pass	0	['35080970']	Y	fail	32	32	35080970	N	
Clin Exp Immunol 1995;102:53-57.	257	clin exp immunol 1995;102:53-57.	Y	pass	3	clin exp immunol 1995;102:53-57.	N	pass	0	['1995', '102', '53', '57']	Y	fail	32	32	1995	N	
Clin Exp Immunol 1995;102:53-57.	257	clin exp immunol 1995;102:53-57.	Y	pass	3	clin exp immunol 1995;102:53-57.	N	pass	0	['1995', '102', '53', '57']	Y	fail	32	32	102	N	
Clin Exp Immunol 1995;102:53-57.	257	clin exp immunol 1995;102:53-57.	Y	pass	3	clin exp immunol 1995;102:53-57.	N	pass	0	['1995', '102', '53', '57']	Y	fail	32	32	53	N	
Clin Exp Immunol 1995;102:53-57.	257	clin exp immunol 1995;102:53-57.	Y	pass	3	clin exp immunol 1995;102:53-57.	N	pass	0	['1995', '102', '53', '57']	Y	fail	32	32	57	N	
Clin Exp Immunol 1996;105:231-237.	258	clin exp immunol 1996;105:231-237.	Y	pass	3	clin exp immunol 1996;105:231-237.	N	pass	0	['1996', '105', '231', '237']	Y	fail	34	34	1996	N	
Clin Exp Immunol 1996;105:231-237.	258	clin exp immunol 1996;105:231-237.	Y	pass	3	clin exp immunol 1996;105:231-237.	N	pass	0	['1996', '105', '231', '237']	Y	fail	34	34	105	N	
Clin Exp Immunol 1996;105:231-237.	258	clin exp immunol 1996;105:231-237.	Y	pass	3	clin exp immunol 1996;105:231-237.	N	pass	0	['1996', '105', '231', '237']	Y	fail	34	34	231	N	
Clin Exp Immunol 1996;105:231-237.	258	clin exp immunol 1996;105:231-237.	Y	pass	3	clin exp immunol 1996;105:231-237.	N	pass	0	['1996', '105', '231', '237']	Y	fail	34	34	237	N	
Counsell et al 1996 PMID 8939151	268	counsell et al 1996 pmid 8939151	Y	pass	5	counsell et al 1996 pmid 8939151	N	pass	0	['1996', '8939151']	Y	fail	32	32	1996	N	
Counsell et al 1996 PMID 8939151	268	counsell et al 1996 pmid 8939151	Y	pass	5	counsell et al 1996 pmid 8939151	N	pass	0	['1996', '8939151']	Y	fail	32	32	8939151	N	
Davignon et al., J Virol (1996). 70:4	384	davignon et al., j virol (1996). 70:4	Y	pass	3	davignon et al., j virol (1996). 70:4	N	pass	0	['davignon et al.', '1996', '70', '4']	Y	fail	36	36	davignon et al.	N	
Davignon et al., J Virol (1996). 70:4	384	davignon et al., j virol (1996). 70:4	Y	pass	3	davignon et al., j virol (1996). 70:4	N	pass	0	['davignon et al.', '1996', '70', '4']	Y	fail	36	36	1996	N	
Davignon et al., J Virol (1996). 70:4	384	davignon et al., j virol (1996). 70:4	Y	pass	3	davignon et al., j virol (1996). 70:4	N	pass	0	['davignon et al.', '1996', '70', '4']	Y	fail	36	36	70	N	
Davignon et al., J Virol (1996). 70:4	384	davignon et al., j virol (1996). 70:4	Y	pass	3	davignon et al., j virol (1996). 70:4	N	pass	0	['davignon et al.', '1996', '70', '4']	Y	fail	36	36	4	N	
del Portillo et al (1987)	388	del portillo et al (1987)	Y	pass	1	del portillo et al (1987)	N	pass	0	['1987']	Y	fail	25	25	1987	N	
Del Portillo et al (1991)	389	del portillo et al (1991)	Y	pass	2	del portillo et al (1991)	N	pass	0	['1991']	Y	fail	25	25	1991	N	
Demotz et al (1989)	390	demotz et al (1989)	Y	pass	1	demotz et al (1989)	N	pass	0	['1989']	Y	fail	19	19	1989	N	
Deubel et al, 1986 Virology 155, 365-377	396	deubel et al, 1986 virology 155, 365-377	Y	pass	2	deubel et al, 1986 virology 155, 365-377	N	pass	0	['deubel et al', '1986', '155', '365', '377']	Y	fail	40	40	deubel et al	N	
Deubel et al, 1986 Virology 155, 365-377	396	deubel et al, 1986 virology 155, 365-377	Y	pass	2	deubel et al, 1986 virology 155, 365-377	N	pass	0	['deubel et al', '1986', '155', '365', '377']	Y	fail	40	40	1986	N	
Deubel et al, 1986 Virology 155, 365-377	396	deubel et al, 1986 virology 155, 365-377	Y	pass	2	deubel et al, 1986 virology 155, 365-377	N	pass	0	['deubel et al', '1986', '155', '365', '377']	Y	fail	40	40	155	N	
Deubel et al, 1986 Virology 155, 365-377	396	deubel et al, 1986 virology 155, 365-377	Y	pass	2	deubel et al, 1986 virology 155, 365-377	N	pass	0	['deubel et al', '1986', '155', '365', '377']	Y	fail	40	40	365	N	
Deubel et al, 1986 Virology 155, 365-377	396	deubel et al, 1986 virology 155, 365-377	Y	pass	2	deubel et al, 1986 virology 155, 365-377	N	pass	0	['deubel et al', '1986', '155', '365', '377']	Y	fail	40	40	377	N	
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]	397	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	Y	pass	9	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	N	pass	0	['1992', '90', '42', '51', '1378459']	Y	fail	71	71	1992	N	
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]	397	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	Y	pass	9	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	N	pass	0	['1992', '90', '42', '51', '1378459']	Y	fail	71	71	90	N	
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]	397	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	Y	pass	9	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	N	pass	0	['1992', '90', '42', '51', '1378459']	Y	fail	71	71	42	N	
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]	397	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	Y	pass	9	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	N	pass	0	['1992', '90', '42', '51', '1378459']	Y	fail	71	71	51	N	
Dhillon et al. (1992) J Allergy Clin Immunol 90; 42-51. [PMID: 1378459]	397	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	Y	pass	9	dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]	N	pass	0	['1992', '90', '42', '51', '1378459']	Y	fail	71	71	1378459	N	
Dolan et al. (1998) J Virol 72:2010, Figure 3	410	dolan et al. (1998) j virol 72:2010, figure 3	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 3	N	pass	0	['1998', '72', '2010', 'figure 3']	Y	fail	45	45	1998	N	
Dolan et al. (1998) J Virol 72:2010, Figure 3	410	dolan et al. (1998) j virol 72:2010, figure 3	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 3	N	pass	0	['1998', '72', '2010', 'figure 3']	Y	fail	45	45	72	N	
Dolan et al. (1998) J Virol 72:2010, Figure 3	410	dolan et al. (1998) j virol 72:2010, figure 3	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 3	N	pass	0	['1998', '72', '2010', 'figure 3']	Y	fail	45	45	2010	N	
Dolan et al. (1998) J Virol 72:2010, Figure 3	410	dolan et al. (1998) j virol 72:2010, figure 3	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 3	N	pass	0	['1998', '72', '2010', 'figure 3']	Y	fail	45	45	figure 3	Y	
Dolan et al. (1998) J Virol 72:2010, Figure 4	411	dolan et al. (1998) j virol 72:2010, figure 4	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 4	N	pass	0	['1998', '72', '2010', 'figure 4']	Y	fail	45	45	1998	N	
Dolan et al. (1998) J Virol 72:2010, Figure 4	411	dolan et al. (1998) j virol 72:2010, figure 4	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 4	N	pass	0	['1998', '72', '2010', 'figure 4']	Y	fail	45	45	72	N	
Dolan et al. (1998) J Virol 72:2010, Figure 4	411	dolan et al. (1998) j virol 72:2010, figure 4	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 4	N	pass	0	['1998', '72', '2010', 'figure 4']	Y	fail	45	45	2010	N	
Dolan et al. (1998) J Virol 72:2010, Figure 4	411	dolan et al. (1998) j virol 72:2010, figure 4	Y	pass	4	dolan et al. (1998) j virol 72:2010, figure 4	N	pass	0	['1998', '72', '2010', 'figure 4']	Y	fail	45	45	figure 4	Y	
Eisenberg et al. J Virol 1984;49:265-268.	413	eisenberg et al. j virol 1984;49:265-268.	Y	pass	3	eisenberg et al. j virol 1984;49:265-268.	N	pass	0	['1984', '49', '265', '268']	Y	fail	41	41	1984	N	
Eisenberg et al. J Virol 1984;49:265-268.	413	eisenberg et al. j virol 1984;49:265-268.	Y	pass	3	eisenberg et al. j virol 1984;49:265-268.	N	pass	0	['1984', '49', '265', '268']	Y	fail	41	41	49	N	
