index	unknown_word	pdb_plausible?	context	occurrences	category	replace_with	remove	invalidate	allow
52	24027321]	N	'cited reference [pmid: 24027321] and pdb 4m5z'	1					
53	discussion	N	'abstract, discussion page 1914', 'discussion p 17406, figure 6', 'discussion p. 389', 'discussion page 357', 'discussion page 8', 'discussion text p. 228', 'discussion, page 809', 'figure 1, discussion', 'figure 1, result and discussion', 'figure 2, results and discussion', 'materials and methods, discussion'	24					
54	scheme	N	'abstract, scheme 1', 'figure 1, supporting information scheme 1 and pdb 1nc2', 'figure 1, supporting information scheme 1 and pdb 1nc4', 'introduction, scheme 1', 'materials and methods and scheme 3', 'materials and methods and scheme 4', 'materials and methods and scheme 5', 'materials and methods and scheme 6'	31					
55	accession	N	'accession 23508148', 'accession no. p04403 cited', 'accession no. p07130 cited', 'accession number: m62321', 'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4', 'accession: p26664', 'author designated genebank accession number: nc_045512', 'author provided accession'	34					
56	no	N	'accession no. p04403 cited', 'accession no. p07130 cited', 'author provided accession no. x74735 and cited reference'	3					
57	p04403	N	'accession no. p04403 cited'	1					
58	p07130	N	'accession no. p07130 cited'	1					
59	number	N	'accession number: m62321', 'author designated genebank accession number: nc_045512', 'author provided accession number', 'author provided accession number in cited reference', 'cited genbank accession number', 'materials and methods (accession number)', 'materials and methods, author provided accession number'	8					
60	m62321	N	'accession number: m62321'	1					
61	u17066	N	'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4'	3					
62	p26664	N	'accession: p26664', 'figure 1; sequence from swiss prot p26664'	2					
63	25723165]	N	'cited reference [pmid: 25723165] and pdb 3x2d'	1					
64	26311869]	N	'cited reference [pmid: 26311869]'	1					
65	27066709]	N	'cited reference [pmid: 27066709]'	1					
68	files	N	'additional files 2 and 9', 'figures 2, 3, 4, 5, additional files 3 and 5', 'figures 2, 3, 4, additional files 5, 6 and 7', 'figures 3, 5, supplementary files 1, 2 and pdb 5ezo', 'supplementary files 4 and 6', 'supplementary files s2, s3', 'supplementary files s2, s3, figure 3', 'table ii and figure 7 and supplementary files 4 and 7'	11					
69	aetiology	N	'aetiology text page 925'	1					
70	ama1_007	N	'ama1_007'	1					
71	animals	N	'animals and methods'	1					
72	another	N	'another 10/1/23 test'	1					
73	test	N	'another 10/1/23 test', 'june30 2023 test', 'structure test', 'test 10/1/2023', 'test p e881', 'test page 121', 'test spliced bcell', 'test page e881'	8					
74	10/1/23	N	'another 10/1/23 test'	1					
75	appendix	N	'appendix 1', 'appendix a', 'appendix a and figure 4, appendix a', 'appendix b', 'appendix figure s2', 'appendix figure s2, figure 5, 2, table ev1', 'appendix table s1', 'figure 1 and appendix figure s1', 'figure 2 and appendix figure s1', 'figure 2 and appendix figures s1 and s7', 'figure 2, appendix figures s1 and s7'	23					
79	ev1	N	'appendix figure s2, figure 5, 2, table ev1', 'dataset ev1', 'figure 1 and dataset ev1', 'figure 1 and ev1', 'figure 1, ev1 and dataset ev1', 'figure 1, ev1 and datsaset ev1', 'figure 4 and dataset ev1', 'figure ev1', 'figure ev5 and dataset ev1', 'figures 1 and ev1', 'figures 1, 2 and ev1, ev3', 'figures 1, 2 and ev1, ev3, ev4'	12					
80	aqp4	N	'aqp4 (111-130)', 'aqp4 (121-140)', 'aqp4 (131-150)', 'aqp4 (141-160)', 'aqp4 (151-170)', 'aqp4 (161-180)', 'aqp4 (171-190)', 'aqp4 (181-200)', 'aqp4 (191-210)', 'aqp4 (201-220)'	10					
81	29736037]	N	'cited reference [pmid: 29736037]'	1					
82	29938870]	N	'cited reference [pmid: 29938870]'	1					
83	biozol	N	'author cited (biozol)'	1					
84	id	N	'author cited genbank id', 'author cited uniprot id', 'author provided genbank id jx112656.1', 'author provided id', 'author provided uniprot id p31948', 'author specified genbank id', 'derived from protein id', 'figure 1 and pdb id 4xnm', 'figure 2, cited genbank id', 'figure 3 and pride id:pxd021755'	19					
85	genbank	N	'author cited genbank id', 'author provided genbank accession gu372973', 'author provided genbank id jx112656.1', 'author specified genbank id', 'cited genbank accession', 'cited genbank accession number', 'fig 1 and genbank record', 'figure 2, cited genbank id', 'figure 3 and genbank 1545803', 'figure 4, cited genbank accession'	23					
86	uniprot	N	'author cited uniprot id', 'author identifed uniprot q12955-3', 'author provided uniprot id p31948'	3					
87	communcation	N	'author communcation'	1					
88	communication	N	'author communication', 'author communication.', 'authors communication', 'cited reference and b. kim, personal communication', 'direct communication', 'direct communication with author', 'fig 1, authors communication', 'figure 1, author communication', 'figure 1, figure s1, author communication', 'figure 2 and author communication'	21					
89	contact	N	'author contact'	1					
90	corrected	N	'author corrected sequence'	1					
91	sequence	N	'author corrected sequence', 'author provided sequence', 'author provided sequence, figures 4, 6', 'author published sequence', 'experimental procedures and standard referenced sequence', 'materials and methods, author confirmed sequence', 'sequence inferred from figure 7', 'standard reference sequence'	14					
92	correspondence	N	'author correspondence', 'author correspondence, figure 3, 4', 'figure 1 and author correspondence', 'figure 2, 3 and author correspondence', 'figure 2, author correspondence', 'table s2, s3, and author correspondence'	6					
93	nc_045512	N	'author designated genebank accession number: nc_045512'	1					
94	genebank	N	'author designated genebank accession number: nc_045512', 'text, genebank accession'	2					
95	designated	N	'author designated genebank accession number: nc_045512'	1					
97	mail	N	'author e-mail', 'matsuda e-mail response'	2					
98	q12955	N	'author identifed uniprot q12955-3'	1					
99	identifed	N	'author identifed uniprot q12955-3'	1					
100	x74735	N	'author provided accession no. x74735 and cited reference'	1					
101	in	N	'author provided accession number in cited reference', 'deduced from amino acid locations in abstract', 'figure 4 and text in p. 5239', 'figure 4b in supplemental data', 'figure 5b in supplemental data, supplementary table 7', 'figure 6 and note added in proof', 'in both text and figures.', 'positions provided in figure 2 on author provided accession'	31					
103	30029854]	N	'cited reference [pmid: 30029854]'	1					
104	31100268]	N	'cited reference [pmid: 31100268] and pdb 6oc3'	1					
105	32023489]	N	'cited reference [pmid: 32023489] and pdb 6oz9'	1					
107	gu372973	N	'author provided genbank accession gu372973'	1					
108	jx112656	N	'author provided genbank id jx112656.1'	1					
109	identfier	N	'author provided identfier'	1					
110	identifier	N	'author provided identifier', 'author provided identifier materials and methods', 'author provided protein identifier', 'derived from author provided identifier', 'derived from author-provided identifier', 'figure 6 and author provided identifier', 'figure 7, author provided identifier', 'identifier on page 236'	9					
111	protein	N	'author provided protein identifier', 'derived from protein id'	2					
112	p31948	N	'author provided uniprot id p31948'	1					
113	published	N	'author published sequence', 'published reference'	2					
114	specified	N	'author specified genbank id'	1					
115	submission	N	'author submission', 'submission and supplementary figure 1', 'submission only', 'table 1 and submission'	4					
116	submitted	N	'author submitted', 'table i and author submitted', 'table 1 and author subm1tted', 'table 1 and author submitted'	2					
117	authors	N	'authors communication', 'authors provided', 'corespondency from authors', 'fig 1, authors communication', 'other reference from study authors', 'figure 1, authors communication'	5					
118	ay278488	N	'ay278488'	1					
119	background	N	'background'	1					
120	immunol	N	'behar, et al., j. immunol. 175: 3268-3272', 'figure 1. milich et al. 1986. j. immunol. 137:2703-2710.', 'oftung et al, j immunol 1990, 144, 1478-1483', 'rambukkana et al, 1991 fems micro immunol 76, 39', 'renggli et al., immunol. lett. 1995', 'booth et al. j immunol 1988;140:597-601', 'charbit et al. j immunol 1987;139:1658'	22					
121	et	N	'behar, et al., j. immunol. 175: 3268-3272', 'booth et al (1988)', 'bundle et al (1989)', 'bundle et al (1989) figure 1', 'cao et al, j gen virol 2002, 83, 3023.', 'cassatro et al. (2005) infect immun 73:8079', 'charbit et al embo j (1986)', 'ching et al (1992)', 'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	138					
123	behar	N	'behar, et al., j. immunol. 175: 3268-3272'	1					
124	al	N	'behar, et al., j. immunol. 175: 3268-3272', 'booth et al (1988)', 'bundle et al (1989)', 'bundle et al (1989) figure 1', 'cao et al, j gen virol 2002, 83, 3023.', 'cassatro et al. (2005) infect immun 73:8079', 'charbit et al embo j (1986)', 'ching et al (1992)', 'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	138					
125	booth	N	'booth et al (1988)', 'booth et al. j immunol 1988;140:597-601'	2					
126	bundle	N	'bundle et al (1989)', 'bundle et al (1989) figure 1'	2					
127	calrlong36	N	'calrlong36'	1					
128	virol	N	'cao et al, j gen virol 2002, 83, 3023.', 'davignon et al., j virol (1996). 70:4', 'dolan et al. (1998) j virol 72:2010, figure 3', 'dolan et al. (1998) j virol 72:2010, figure 4', 'figure 6 and virol. 133:301-314', 'j gen virol. 2000, 81:2707-13', 'j. gen. virol. 82:191-199', 'mccarthy et al j virol 1993'	31					
129	gen	N	'cao et al, j gen virol 2002, 83, 3023.', 'j gen virol. 2000, 81:2707-13', 'j. gen. virol. 82:191-199', 'figure 1; j. gen. virol. 73:1849-1854', 'khanim et al. (1997). j gen virol 78: 2987-99. [pmid: 9367386]', 'strohmaier et al. j gen virol 1982;59:295', 'vidgren et al. (1987). j gen virol 68:2347-57 [pmid: 3655744]'	7					
130	cao	N	'cao et al, j gen virol 2002, 83, 3023.'	1					
131	report	N	'case report', 'case report p 191', 'case report, page 682', 'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/', 'figure 1, case report', 'report p 213', 'case repageort page 191', 'repageort page 213', 'case report page 191', 'report page 213'	6					
132	case	N	'case report', 'case report p 191', 'case report, page 682', 'case reports', 'case reports and methods', 'clinical case presentation', 'figure 1, case report', 'case repageort page 191', 'case report page 191'	7					
133	reports	N	'case reports', 'case reports and methods'	2					
134	immun	N	'cassatro et al. (2005) infect immun 73:8079', 'chua-intra, et al. infect. immun. 1998.', 'figure 1. sun et al. 1991. infect. immun. 59(1):114-118.', 'infect immun 2002;70:6860-6870', 'mueller et al. infect immun 2003;71:4749', 'novotny et al. (2000). infect. immun. 68:2119-28 [pmid: 10722609]', 'sirakova et al. (1994). infect. immun. 62:2002-20 [7909539]'	7					
135	cassatro	N	'cassatro et al. (2005) infect immun 73:8079'	1					
136	infect	N	'cassatro et al. (2005) infect immun 73:8079', 'chua-intra, et al. infect. immun. 1998.', 'figure 1. sun et al. 1991. infect. immun. 59(1):114-118.', 'infect immun 2002;70:6860-6870', 'mueller et al. infect immun 2003;71:4749', 'novotny et al. (2000). infect. immun. 68:2119-28 [pmid: 10722609]', 'sirakova et al. (1994). infect. immun. 62:2002-20 [7909539]'	7					
137	embo	N	'charbit et al embo j (1986)', 'embo journal 1988;7:819 - 824'	2					
138	charbit	N	'charbit et al embo j (1986)', 'charbit et al. j immunol 1987;139:1658'	2					
139	chart	N	'chart 1', 'chart 1 and experimental procedures', 'chart 3', 'table 1, chart 2 structure 16'	4					
140	experimental	N	'chart 1 and experimental procedures', 'experimental (page 92)', 'experimental and results p. 474', 'experimental methods', 'experimental part', 'experimental procedures and figure 1', 'experimental procedures and pdb 3aqi9', 'experimental procedures and pdb 4xc1 and 4xc3', 'experimental procedures and standard referenced sequence'	28					
141	procedures	N	'chart 1 and experimental procedures', 'experimantal procedures', 'experimental procedures and figure 1', 'experimental procedures and pdb 3aqi9', 'experimental procedures and pdb 4xc1 and 4xc3', 'experimental procedures and standard referenced sequence', 'experimental procedures and table s1', 'experimental procedures, page 180'	16					
142	chebi	N	'chebi directory'	1					
143	directory	N	'chebi directory'	1					
144	chemicals	N	'chemicals', 'supporting information, chemicals and materials'	2					
145	ching	N	'ching et al (1992)'	1					
146	pmid	N	'chua et al 1990 pmid 2341191', 'counsell et al 1996 pmid 8939151', 'fig 1, ref 21 (pmid: 6088507)', 'nisbet at al 1981 pmid: 7016535', 'pmid: 114187465', 'pmid: 15208742', 'pmid: 15213518', 'pmid: 21899371 figure 1', 'pmid: 30349528 corrigendum', 'pmid:25581790', 'reference cited: pmid 16154240', 'reference pmid 22529294'	13					
147	chua	N	'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	2					
148	intra	N	'chua-intra, et al. infect. immun. 1998.'	1					
149	citation	N	'citation', 'reference citation'	2					
150	cite	N	'cite reference'	1					
151	p02789	N	'cited accession p02789.2'	1					
152	product	N	'cited commercial product', 'cited product', 'commercial product sheet', 'product data sheet', 'product information sheet'	5					
153	commercial	N	'cited commercial product', 'commercial data sheet', 'commercial product sheet', 'commercial source', 'text page 6 and commercial sources'	5					
154	refence	N	'cited refence'	1					
155	referce	N	'cited referce'	1					
156	referece	N	'cited referece'	1					
157	referecne	N	'cited referecne'	1					
158	referenc	N	'cited referenc'	1					
159	kim	N	'cited reference and b. kim, personal communication'	1					
160	personal	N	'cited reference and b. kim, personal communication', 'personal communication from author', 'reference cited and personal communication', 'text p. 9, personal communication, and cited reference', 'text page. 9, pageersonal communication, and cited reference', 'text page. 9, personal communication, and cited reference'	5					
161	ncbi	N	'cited reference and ncbi'	1					
168	32245784]	N	'cited reference [pmid: 32245784]'	1					
170	32454512]	N	'cited reference [pmid: 32454512]'	1					
171	35080970]	N	'cited reference [pmid: 35080970]'	1					
172	download/	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
173	https	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
174	immunitrack	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
175	//www	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
176	coronavirus	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
177	for	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
178	com/free	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1					
179	reference1	N	'cited reference1'	1					
180	reference219	N	'cited reference219'	1					
181	reference2201	N	'cited reference2201'	1					
182	referencep	N	'cited referencep'	1					
183	references	N	'cited references', 'figure 1 (references)', 'figure 2 and references', 'figure 4, previous references', 'references (canaday et al., 2003)', 'references and notes', 'references (moradpour et al., 1996; iwata et al., 1995)'	8					
184	refernce	N	'cited refernce'	1					
185	swiss	N	'cited swiss-prot', 'fig 3, swiss prot database', 'figure 2 and swiss-prot record', 'figure 5 and swiss-prot record', 'swiss prot, ref 21 (pmid: 6088507)', 'swiss-prot accession', 'swiss-prot accession p01012', 'swiss-prot entry', 'figure 3, swiss prot database', 'figure 1; sequence from swiss prot p26664'	9					
186	prot	N	'cited swiss-prot', 'fig 3, swiss prot database', 'figure 2 and swiss-prot record', 'figure 5 and swiss-prot record', 'swiss prot, ref 21 (pmid: 6088507)', 'swiss-prot accession', 'swiss-prot accession p01012', 'swiss-prot entry', 'figure 3, swiss prot database', 'figure 1; sequence from swiss prot p26664'	9					
187	clinical	N	'clinical case presentation', 'clinical studies page 927', 'clinical studies text page 927', 'diagnostics and clinical studies text page 927', 'supplemental data-clinical study protocol'	5					
188	presentation	N	'clinical case presentation'	1					
189	studies	N	'clinical studies page 927', 'clinical studies text page 927', 'diagnostics and clinical studies text page 927'	3					
190	sheet	N	'commercial data sheet', 'commercial product sheet', 'data sheet 2', 'product data sheet', 'product information sheet', 'results page 10 and supplementary data sheet 1', 'table 1 and figure 6 and supplementary data sheet 1', 'table 1 and supplementary data sheet 1'	8					
191	source	N	'commercial source', 'figure 1 and s1 source raw', 'figure 1, figure 4-supplement 2 and 5 and figure 4 source data', 'figure 1, figure 4-supplement 2, 3, and 5 and figure 4 source data', 'figure 2 , supplementary figure 1 and source data', 'figure 2 and source data', 'figure 2, supplementary figure 1 and source data'	16					
192	concise	N	'concise methods'	1					
193	consise	N	'consise methods'	1					
194	corespondency	N	'corespondency from authors'	1					
195	counsell	N	'counsell et al 1996 pmid 8939151'	1					
196	dako	N	'dako datasheet'	1					
197	datasheet	N	'dako datasheet', 'figure 3 and datasheet 2', 'figures 3, s1 and datasheet 2', 'figure 3, s1 and datasheet 2'	3					
199	shown	N	'data not shown', 'data not shown, figure 3c', 'data not shown, page 1278.', 'data not shown, page 293 and figure 6.', 'data not shown, page 293.', 'data not shown, results page 2-3', 'data not shown, results page 52', 'data not shown, text page 1060.', 'data not shown, text page 2562.', 'figure 1 and data not shown'	23					
200	not	N	'data not shown', 'data not shown, figure 3c', 'data not shown, page 1278.', 'data not shown, page 293 and figure 6.', 'data not shown, page 293.', 'data not shown, results page 2-3', 'data not shown, results page 52', 'data not shown, text page 1060.', 'data not shown, text page 2562.', 'figure 1 and data not shown'	23					
207	set	N	'data set s1 and s11', 'data set s1 and s11 and figures 1 and 2', 'data set s1 and s11 and figures 1, 2, 3, and 4', 'figure 3, data set 3d', 'figure 5, table s7, data set s2', 'figure s4 and data set 13', 'figures 3, 5, data set 3b', 'figures 3, 6, s4, data set 3c', 'figures 6, s4, data set 6a', 'figures 6, s4, data set 6c'	13					
208	datas3	N	'datas3'	1					
209	datas6	N	'datas6'	1					
210	dataset	N	'dataset 1', 'dataset 8', 'dataset ev1', 'dataset s01', 'dataset s02', 'dataset s03', 'dataset s1', 'dataset s1, figure 4', 'dataset s1, figures 2, s1', 'dataset s1, figures 3, 4, s2', 'dataset s1, figures s1', 'dataset s1, s2', 'dataset s1, s2 and figures 1, s1', 'dataset s3', 'dataset s3, s4', 'dataset s4'	53					
211	s01	N	'dataset s01'	1					
212	s02	N	'dataset s02'	1					
213	s03	N	'dataset s03'	1					
214	datasets1	N	'datasets1'	1					
215	datasets2	N	'datasets2'	1					
216	davignon	N	'davignon et al., j virol (1996). 70:4'	1					
217	amino	N	'deduced from amino acid locations in abstract'	1					
218	locations	N	'deduced from amino acid locations in abstract'	1					
219	acid	N	'deduced from amino acid locations in abstract', 'takeuchi et al. nucleic acid res 1990;18:4626'	2					
220	deduced	N	'deduced from amino acid locations in abstract', 'deduced from cited accession', 'deduced from table s2'	3					
221	del	N	'del portillo et al (1987)', 'del portillo et al (1991)'	2					
222	portillo	N	'del portillo et al (1987)', 'del portillo et al (1991)'	2					
223	demotz	N	'demotz et al (1989)'	1					
224	derived	N	'derived from author provided identifier', 'derived from author-provided identifier', 'derived from figure 11 information', 'derived from protein id'	4					
225	dhillon	N	'dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]'	1					
226	design	N	'design and methods', 'rearch design and methods', 'research design and methods', 'study design'	4					
227	virology	N	'deubel et al, 1986 virology 155, 365-377', 'lambert et al., j. virology, 1990', 'pushko et al, 1994, virology 202:912', 'richardson et al. (1986) virology 155:508', 'stemler et al. 1990 journal of virology 64, 2802-2809', 'garcia-briones et al. 2004. virology 322(2):264-275 [pmid: 15110524]'	6					
228	deubel	N	'deubel et al, 1986 virology 155, 365-377'	1					
229	diagnostics	N	'diagnostics and clinical studies text page 927'	1					
230	direct	N	'direct communication', 'direct communication with author', 'provided by direct communication with author'	3					
231	with	N	'direct communication with author', 'provided by direct communication with author'	2					
232	documented	N	'documented reference'	1					
233	dolan	N	'dolan et al. (1998) j virol 72:2010, figure 3', 'dolan et al. (1998) j virol 72:2010, figure 4'	2					
234	dvhdgkvvstheq	N	'dvhdgkvvstheq'	1					
235	1378459]	N	'dhillon et al. (1992) j allergy clin immunol 90; 42-51. [pmid: 1378459]'	1					
236	electronic	N	'electronic supplementary material', 'table 1 and electronic supplementary material figure s1.'	2					
237	ems	N	'ems fig. 1', 'ems figure. 1'	1					
238	sars	N	'epitope of fab r3p1-e4 on sars-cov2 rbd'	1					
239	r3p1	N	'epitope of fab r3p1-e4 on sars-cov2 rbd'	1					
240	on	N	'epitope of fab r3p1-e4 on sars-cov2 rbd', 'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb', 'footnote 3 on p 13225', 'identifier on page 236', 'on line methods', 'positions provided in figure 2 on author provided accession', 'positions provided in figure 3 on author provided accession'	15					
241	cov2	N	'epitope of fab r3p1-e4 on sars-cov2 rbd'	1					
242	epitope	N	'epitope of fab r3p1-e4 on sars-cov2 rbd', 'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb', 'hpv l2 epitope', 'standard referenced epitope', 'tnf-a b cell epitope', 'well-characterized epitope'	7					
243	e4	N	'epitope of fab r3p1-e4 on sars-cov2 rbd', 'figure 2 and e4', 'figure 5 and e4', 'figure e4', 'figure e4 and e7', 'figures 3 and e4', 'figures 3, e2, table e4', 'figures 4 and 5, tables e2, e4', 'figures 4 and e4', 'figures 4, e3, and e4', 'figures 7, e4 and e5', 'figures e2, e3, e4', 'figures e3, e4'	17					
244	rbd	N	'epitope of fab r3p1-e4 on sars-cov2 rbd'	1					
245	fab	N	'epitope of fab r3p1-e4 on sars-cov2 rbd'	1					
246	of	N	'epitope of fab r3p1-e4 on sars-cov2 rbd', 'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb', 'legand of table i', 'legend of figure 1', 'legend of table 2', 'legend of table i', 'natural ligands of b27 figure', 'results text page 3 of 12', 'stemler et al. 1990 journal of virology 64, 2802-2809'	10					
247	gb	N	'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb'	2					
248	scfv	N	'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb'	2					
249	p12	N	'epitope of scfv p12 on hcmv gb', 'text p12'	2					
250	hcmv	N	'epitope of scfv p12 on hcmv gb', 'epitope of scfv q5 on hcmv gb'	2					
251	q5	N	'epitope of scfv q5 on hcmv gb'	1					
252	esm	N	'esm table 1', 'figure 1, esm table 1', 'figure 2 and esm table 3', 'figure 2, 6 and esm table 3', 'figure 2, esm figure 1', 'figure 2, esm figure 2', 'figure 3 and esm figure 2', 'figure 4 and esm table 4', 'figure 4 and esm table 5', 'figures 4 and 5 and table 3, and esm table 5, and esm figure 2'	16					
253	estrada	N	'estrada et at 1992'	1					
254	at	N	'estrada et at 1992', 'nisbet at al 1981 pmid: 7016535'	2					
255	etable	N	'etable 4', 'figure 5, etable 4'	2					
256	experimantal	N	'experimantal procedures'	1					
257	part	N	'experimental part', 'figure 2 and experimental part 4.2.2', 'figure 2 and experimental part 4.2.3', 'figure 2 and experimental part 4.2.4', 'figure 2 and experimental part 4.2.5', 'figure 6 and experimental part'	6					
258	procedure	N	'experimental procedure'	1					
259	3aqi9	N	'experimental procedures and pdb 3aqi9'	1					
262	referenced	N	'experimental procedures and standard referenced sequence', 'standard referenced epitope', 'standard referenced sequence, materials and methods', 'standard referenced sequence.', 'standard referenced structure'	6					
263	standard	N	'experimental procedures and standard referenced sequence', 'standard reference sequence', 'standard referenced epitope', 'standard referenced sequence, materials and methods', 'standard referenced sequence.', 'standard referenced structure', 'standard sequence'	9					
264	section	N	'experimental section', 'experimental section and pdb 6mj6', 'figure 3, table 2, results section 2.2', 'figure 5, results page 41 section 3.7,', 'material and methods section 2.4', 'methods section 2.7', 'methods section 3.1', 'page 631 section 3.4', 'patients and methods section', 'results page 41 section 3.7, figure 6'	24					
266	eisenberg	N	'eisenberg et al. j virol 1984;49:265-268'	1					
267	system	N	'experimental system and table vi', 'experimental system and table 6'	1					
268	experimentals	N	'experimentals'	1					
269	experrimental	N	'experrimental procedures'	1					
270	extanded	N	'extanded table 1', 'extanded table 2', 'extanded table 3', 'extanded table 5', 'figure 1, extended data figure 1, and extanded table 1', 'figure 1, extended data figures 1, 2, and extanded table 1', 'figure 1, extended data figure 1, 2, and extanded table 1'	6					
271	etlingr	N	'etlingr et al. science 1990;249:423-25'	1					
289	exteneded	N	'extended data figure 3, exteneded data table 1 and pdb 6x3s', 'extended data figure 3, exteneded data table 1 and pdb 6x3t', 'extended data figure 3, exteneded data table 1 and pdb 6x3v', 'extended data figure 3, exteneded data table 1 and pdb 6x3w', 'extended data figure 3, exteneded data table 2 and pdb 6x3x'	8					
